Dex ID,Species,Forme,Type 1,Type 2,Egg group 1,Egg group 2,Is legendary?,Is egg?,In lab?,Colour,Body style,Region
266,Treecko,,Grass,,Dragon,Monster,No,Yes,Yes,Green,Dino,Hoenn
267,Grovyle,,Grass,,Dragon,Monster,No,No,,Green,Dino,Hoenn
268,Sceptile,,Grass,,Dragon,Monster,No,No,,Green,Dino,Hoenn
268-M,Sceptile,Mega Forme,Grass,Dragon,Dragon,Monster,No,No,,Green,Dino,Hoenn
269,Torchic,,Fire,,Field,,No,Yes,Yes,Red,Two Legs,Hoenn
270,Combusken,,Fire,Fighting,Field,,No,No,,Red,Dino,Hoenn
271,Blaziken,,Fire,Fighting,Field,,No,No,,Red,Dino,Hoenn
271-M,Blaziken,Mega Forme,Fire,Fighting,Field,,No,No,,Red,Dino,Hoenn
272,Mudkip,,Water,,Water 1,Monster,No,Yes,Yes,Blue,Four Legs,Hoenn
273,Marshtomp,,Water,Ground,Water 1,Monster,No,No,,Blue,Dino,Hoenn
274,Swampert,,Water,Ground,Water 1,Monster,No,No,,Blue,Dino,Hoenn
274-M,Swampert,Mega Forme,Water,Ground,Water 1,Monster,No,No,,Blue,Dino,Hoenn
275,Poochyena,,Dark,,Field,,No,Yes,Yes,Grey,Four Legs,Hoenn
276,Mightyena,,Dark,,Field,,No,No,,Grey,Four Legs,Hoenn
277,Zigzagoon,,Normal,,Field,,No,Yes,Yes,Brown,Four Legs,Hoenn
277r8,Zigzagoon,Galarian Forme,Dark,Normal,Field,,No,Yes,No,White,Four Legs,Hoenn
278,Linoone,,Normal,,Field,,No,No,,White,Four Legs,Hoenn
278r8,Linoone,Galarian Forme,Dark,Normal,Field,,No,No,,White,Four Legs,Hoenn
279,Wurmple,,Bug,,Bug,,No,Yes,Yes,Red,Crawling Bug,Hoenn
280,Silcoon,,Bug,,Bug,,No,No,,White,Short Blob,Hoenn
281,Beautifly,,Bug,Flying,Bug,,No,No,,Yellow,Flying Bug,Hoenn
282,Cascoon,,Bug,,Bug,,No,No,,Purple,Short Blob,Hoenn
283,Dustox,,Bug,Poison,Bug,,No,No,,Green,Flying Bug,Hoenn
284,Lotad,,Water,Grass,Water 1,Grass,No,Yes,Yes,Green,Crawling Bug,Hoenn
285,Lombre,,Water,Grass,Water 1,Grass,No,No,,Green,Human,Hoenn
286,Ludicolo,,Water,Grass,Water 1,Grass,No,No,,Green,Human,Hoenn
287,Seedot,,Grass,,Grass,Field,No,Yes,Yes,Brown,Two Legs,Hoenn
288,Nuzleaf,,Grass,Dark,Grass,Field,No,No,,Brown,Human,Hoenn
289,Shiftry,,Grass,Dark,Grass,Field,No,No,,Brown,Human,Hoenn
290,Taillow,,Normal,Flying,Flying,,No,Yes,Yes,Blue,Bird,Hoenn
291,Swellow,,Normal,Flying,Flying,,No,No,,Blue,Bird,Hoenn
292,Wingull,,Water,Flying,Flying,Water 1,No,Yes,Yes,White,Bird,Hoenn
293,Pelipper,,Water,Flying,Flying,Water 1,No,No,,Yellow,Bird,Hoenn
294,Ralts,,Psychic,Fairy,Amorphous,Human-Like,No,Yes,Yes,White,Human,Hoenn
295,Kirlia,,Psychic,Fairy,Amorphous,Human-Like,No,No,,White,Human,Hoenn
295f,Iron Valiant,,Fairy,Fighting,Amorphous,Human-Like,No,No,,White,Human,Hoenn
296,Gardevoir,,Psychic,Fairy,Amorphous,Human-Like,No,No,,White,Human,Hoenn
296-M,Gardevoir,Mega Forme,Psychic,Fairy,Amorphous,Human-Like,No,No,,White,Human,Hoenn
297,Gallade,,Psychic,Fighting,Amorphous,Human-Like,No,No,,White,Human,Hoenn
297-M,Gallade,Mega Forme,Psychic,Fighting,Amorphous,Human-Like,No,No,,White,Human,Hoenn
298,Surskit,,Bug,Water,Water 1,Bug,No,Yes,Yes,Blue,Crawling Bug,Hoenn
299,Masquerain,,Bug,Flying,Water 1,Bug,No,No,,Blue,Flying Bug,Hoenn
300,Shroomish,,Grass,,Fairy,Grass,No,Yes,Yes,Brown,Two Legs,Hoenn
301,Breloom,,Grass,Fighting,Fairy,Grass,No,No,,Green,Dino,Hoenn
302,Slakoth,,Normal,,Field,,No,Yes,Yes,Brown,Four Legs,Hoenn
303,Vigoroth,,Normal,,Field,,No,No,,White,Dino,Hoenn
304,Slaking,,Normal,,Field,,No,No,,Brown,Human,Hoenn
305,Nincada,,Bug,Ground,Bug,,No,Yes,Yes,Grey,Crawling Bug,Hoenn
306,Ninjask,,Bug,Flying,Bug,,No,No,,Yellow,Flying Bug,Hoenn
307,Shedinja,,Bug,Ghost,Mineral,,No,No,,Brown,Tall Blob,Hoenn
308,Whismur,,Normal,,Field,Monster,No,Yes,Yes,Pink,Dino,Hoenn
309,Loudred,,Normal,,Field,Monster,No,No,,Blue,Dino,Hoenn
310,Exploud,,Normal,,Field,Monster,No,No,,Blue,Dino,Hoenn
311,Makuhita,,Fighting,,Human-Like,,No,Yes,Yes,Yellow,Human,Hoenn
312,Hariyama,,Fighting,,Human-Like,,No,No,,Brown,Human,Hoenn
312f,Iron Hands,,Fighting,Electric,Human-Like,,No,No,,Grey,Human,Hoenn
313,Nosepass,,Rock,,Mineral,,No,Yes,Yes,Grey,Human,Hoenn
314,Probopass,,Rock,Steel,Mineral,,No,No,,Grey,Multi,Hoenn
315,Skitty,,Normal,,Fairy,Field,No,Yes,Yes,Pink,Four Legs,Hoenn
316,Delcatty,,Normal,,Fairy,Field,No,No,,Purple,Four Legs,Hoenn
317,Sableye,,Dark,Ghost,Human-Like,,No,Yes,Yes,Purple,Human,Hoenn
317-M,Sableye,Mega Forme,Dark,Ghost,Human-Like,,No,No,,Purple,Human,Hoenn
318,Mawile,,Steel,Fairy,Fairy,Field,No,Yes,Yes,Black,Human,Hoenn
318-M,Mawile,Mega Forme,Steel,Fairy,Fairy,Field,No,No,,Black,Human,Hoenn
319,Aron,,Steel,Rock,Monster,,No,Yes,Yes,Grey,Four Legs,Hoenn
320,Lairon,,Steel,Rock,Monster,,No,No,,Grey,Four Legs,Hoenn
321,Aggron,,Steel,Rock,Monster,,No,No,,Grey,Dino,Hoenn
321-M,Aggron,Mega Forme,Steel,,Monster,,No,No,,Grey,Dino,Hoenn
322,Meditite,,Fighting,Psychic,Human-Like,,No,Yes,Yes,Blue,Human,Hoenn
323,Medicham,,Fighting,Psychic,Human-Like,,No,No,,Red,Human,Hoenn
323-M,Medicham,Mega Forme,Fighting,Psychic,Human-Like,,No,No,,Red,Human,Hoenn
324,Electrike,,Electric,,Field,,No,Yes,Yes,Green,Four Legs,Hoenn
325,Manectric,,Electric,,Field,,No,No,,Yellow,Four Legs,Hoenn
325-M,Manectric,Mega Forme,Electric,,Field,,No,No,,Yellow,Four Legs,Hoenn
326,Plusle,,Electric,,Fairy,,No,Yes,Yes,Yellow,Dino,Hoenn
327,Minun,,Electric,,Fairy,,No,Yes,Yes,Yellow,Dino,Hoenn
328,Volbeat,,Bug,,Human-Like,Bug,No,Yes,Yes,Grey,Dino,Hoenn
329,Illumise,,Bug,,Human-Like,Bug,No,Yes,Yes,Purple,Human,Hoenn
330,Gulpin,,Poison,,Amorphous,,No,Yes,Yes,Green,Two Arms,Hoenn
331,Swalot,,Poison,,Amorphous,,No,No,,Purple,Two Arms,Hoenn
