Dex ID,Species,Forme,Type 1,Type 2,Egg group 1,Egg group 2,Is legendary?,Is egg?,In lab?,Colour,Body style,Region
167,Chikorita,,Grass,,Grass,Monster,No,Yes,Yes,Green,Four Legs,Johto
168,Bayleef,,Grass,,Grass,Monster,No,No,,Green,Four Legs,Johto
169,Meganium,,Grass,,Grass,Monster,No,No,,Green,Four Legs,Johto
170,Cyndaquil,,Fire,,Field,,No,Yes,Yes,Yellow,Human,Johto
171,Quilava,,Fire,,Field,,No,No,,Yellow,Four Legs,Johto
172,Typhlosion,,Fire,,Field,,No,No,,Yellow,Four Legs,Johto
172r4,Typhlosion,Hisuian Forme,Fire,Ghost,Field,,No,No,,Yellow,Four Legs,Johto
173,Totodile,,Water,,Water 1,Monster,No,Yes,Yes,Blue,Dino,Johto
174,Croconaw,,Water,,Water 1,Monster,No,No,,Blue,Dino,Johto
175,Feraligator,,Water,,Water 1,Monster,No,No,,Blue,Dino,Johto
176,Sentret,,Normal,,Field,,No,Yes,Yes,Brown,Four Legs,Johto
177,Furret,,Normal,,Field,,No,No,,Brown,Four Legs,Johto
178,Hoothoot,,Normal,Flying,Flying,,No,Yes,Yes,Brown,Bird,Johto
179,Noctowl,,Normal,Flying,Flying,,No,No,,Brown,Bird,Johto
180,Ledyba,,Bug,Flying,Bug,,No,Yes,Yes,Red,Bird,Johto
181,Ledian,,Bug,Flying,Bug,,No,No,,Red,Bird,Johto
182,Spinarak,,Bug,Poison,Bug,,No,Yes,Yes,Green,Crawling Bug,Johto
183,Ariados,,Bug,Poison,Bug,,No,No,,Red,Crawling Bug,Johto
184,Chinchou,,Water,Electric,Water 2,,No,Yes,No,Blue,Fish,Johto
185,Lanturn,,Water,Electric,Water 2,,No,No,,Blue,Fish,Johto
186,Togepi,,Fairy,,Undiscovered,,No,Yes,Yes,White,Human,Johto
187,Togetic,,Fairy,Flying,Flying,Fairy,No,No,,White,Human,Johto
188,Togekiss,,Fairy,Flying,Flying,Fairy,No,No,,White,Bird,Johto
189,Natu,,Psychic,Flying,Flying,,No,Yes,Yes,Green,Bird,Johto
190,Xatu,,Psychic,Flying,Flying,,No,No,,Green,Bird,Johto
191,Mareep,,Electric,,Field,Monster,No,Yes,Yes,White,Four Legs,Johto
192,Flaaffy,,Electric,,Field,Monster,No,No,,Pink,Dino,Johto
193,Ampharos,,Electric,,Field,Monster,No,No,,Yellow,Dino,Johto
193-M,Ampharos,Mega Forme,Electric,Dragon,Field,Monster,No,No,,Yellow,Dino,Johto
194,Azurill,,Normal,Fairy,Undiscovered,,No,Yes,No,Blue,Two Legs,Johto
195,Marill,,Water,Fairy,Fairy,Water 1,No,Yes,Yes,Blue,Dino,Johto
196,Azumarill,,Water,Fairy,Fairy,Water 1,No,No,,Blue,Dino,Johto
197,Bonsly,,Rock,,Undiscovered,,No,Yes,No,Brown,Two Legs,Johto
198,Sudowoodo,,Rock,,Mineral,,No,Yes,Yes,Brown,Human,Johto
199,Hoppip,,Grass,Flying,Fairy,Grass,No,Yes,Yes,Pink,Dino,Johto
200,Skiploom,,Grass,Flying,Fairy,Grass,No,No,,Green,Dino,Johto
201,Jumpluff,,Grass,Flying,Fairy,Grass,No,No,,Blue,Dino,Johto
202,Aipom,,Normal,,Field,,No,Yes,Yes,Purple,Dino,Johto
