Dex ID,Species,Forme,Type 1,Type 2,Egg group 1,Egg group 2,Is legendary?,Is egg?,In lab?,Colour,Body style,Region
650,Chespin,,Grass,,Field,,No,Yes,Yes,Green,Dino,Kalos
651,Quilladin,,Grass,,Field,,No,No,,Green,Dino,Kalos
652,Chesnaught,,Grass,Fighting,Field,,No,No,,Green,Dino,Kalos
653,Fennekin,,Fire,,Field,,No,Yes,Yes,Red,Four Legs,Kalos
654,Braixen,,Fire,,Field,,No,No,,Red,Dino,Kalos
655,Delphox,,Fire,Psychic,Field,,No,No,,Red,Dino,Kalos
656,Froakie,,Water,,Water 1,,No,Yes,Yes,Blue,Four Legs,Kalos
657,Frogadier,,Water,,Water 1,,No,No,,Blue,Human,Kalos
658,Greninja,,Water,Dark,Water 1,,No,No,,Blue,Human,Kalos
659,Bunnelby,,Normal,,Field,,No,Yes,Yes,Brown,Dino,Kalos
660,Diggersby,,Normal,Ground,Field,,No,No,,Brown,Dino,Kalos
661,Fletchling,,Normal,Flying,Flying,,No,Yes,Yes,Red,Bird,Kalos
662,Fletchinder,,Fire,Flying,Flying,,No,No,,Red,Bird,Kalos
663,Talonflame,,Fire,Flying,Flying,,No,No,,Red,Bird,Kalos
664,Scatterbug,,Bug,,Bug,,No,Yes,Yes,Black,Crawling Bug,Kalos
665,Spewpa,,Bug,,Bug,,No,No,,Black,Tall Blob,Kalos
666,Vivillon,,Bug,,Bug,,No,No,,Black,Flying Bug,Kalos
667,Litleo,,Fire,Normal,Field,,No,Yes,Yes,Brown,Four Legs,Kalos
668,Pyroar,,Fire,Normal,Field,,No,No,,Brown,Four Legs,Kalos
669,Flabébé,,Fairy,,Fairy,,No,Yes,Yes,White,Two Arms,Kalos
670,Floette,,Fairy,,Fairy,,No,No,,White,Two Arms,Kalos
671,Florges,,Fairy,,Fairy,,No,No,,White,Two Arms,Kalos
672,Skiddo,,Grass,,Field,,No,Yes,Yes,Brown,Four Legs,Kalos
673,Gogoat,,Grass,,Field,,No,No,,Brown,Four Legs,Kalos
674,Pancham,,Fighting,,Human-Like,Field,No,Yes,Yes,White,Dino,Kalos
675,Pangoro,,Fighting,Dark,Human-Like,Field,No,No,,White,Human,Kalos
676,Furfrou,,Normal,,Field,,No,Yes,Yes,White,Four Legs,Kalos
677,Espurr,,Psychic,,Field,,No,Yes,Yes,Grey,Dino,Kalos
678,Meowstic,,Psychic,,Field,,No,No,,White,Dino,Kalos
679,Honedge,,Steel,Ghost,Mineral,,No,Yes,Yes,Brown,Tall Blob,Kalos
680,Doublade,,Steel,Ghost,Mineral,,No,No,,Brown,Tall Blob,Kalos
681,Aegislash,Blade Forme,Steel,Ghost,Mineral,,No,No,,Brown,Tall Blob,Kalos
681b,Aegislash,Shield Forme,Steel,Ghost,Mineral,,No,No,,Brown,Tall Blob,Kalos
682,Spritzee,,Fairy,,Fairy,,No,Yes,Yes,Pink,Two Arms,Kalos
683,Aromatisse,,Fairy,,Fairy,,No,No,,Pink,Human,Kalos
