Dex ID,Species,Forme,Type 1,Type 2,Egg group 1,Egg group 2,Is legendary?,Is egg?,In lab?,Colour,Body style,Region
494,Victini,,Psychic,Fire,Undiscovered,,Yes,Yes,No,Yellow,Human,Unova
495,Snivy,,Grass,,Grass,Field,No,Yes,Yes,Green,Dino,Unova
496,Servine,,Grass,,Grass,Field,No,No,,Green,Dino,Unova
497,Serperior,,Grass,,Grass,Field,No,No,,Green,Snake,Unova
498,Tepig,,Fire,,Field,,No,Yes,Yes,Red,Four Legs,Unova
499,Pignite,,Fire,Fighting,Field,,No,No,,Red,Dino,Unova
500,Emboar,,Fire,Fighting,Field,,No,No,,Red,Dino,Unova
501,Oshawott,,Water,,Field,,No,Yes,Yes,Blue,Dino,Unova
502,Dewott,,Water,,Field,,No,No,,Blue,Dino,Unova
503,Samurott,,Water,,Field,,No,No,,Blue,Four Legs,Unova
503r4,Samurott,Hisuian Forme,Water,Dark,Field,,No,No,,Blue,Four Legs,Unova
504,Patrat,,Normal,,Field,,No,Yes,Yes,Brown,Four Legs,Unova
505,Watchog,,Normal,,Field,,No,No,,Brown,Dino,Unova
506,Lillipup,,Normal,,Field,,No,Yes,Yes,Brown,Four Legs,Unova
507,Herdier,,Normal,,Field,,No,No,,Grey,Four Legs,Unova
508,Stoutland,,Normal,,Field,,No,No,,Grey,Four Legs,Unova
509,Purrloin,,Dark,,Field,,No,Yes,Yes,Purple,Four Legs,Unova
510,Liepard,,Dark,,Field,,No,No,,Purple,Four Legs,Unova
511,Pansage,,Grass,,Field,,No,Yes,Yes,Green,Dino,Unova
512,Simisage,,Grass,,Field,,No,No,,Green,Dino,Unova
513,Pansear,,Fire,,Field,,No,Yes,Yes,Red,Dino,Unova
514,Simisear,,Fire,,Field,,No,No,,Red,Dino,Unova
515,Panpour,,Water,,Field,,No,Yes,Yes,Blue,Dino,Unova
516,Simipour,,Water,,Field,,No,No,,Blue,Dino,Unova
517,Munna,,Psychic,,Field,,No,Yes,Yes,Pink,Four Legs,Unova
518,Musharna,,Psychic,,Field,,No,No,,Pink,Human,Unova
519,Pidove,,Normal,Flying,Flying,,No,Yes,Yes,Grey,Bird,Unova
520,Tranquill,,Normal,Flying,Flying,,No,No,,Grey,Bird,Unova
521,Unfezant,,Normal,Flying,Flying,,No,No,,Grey,Bird,Unova
522,Blitzle,,Electric,,Field,,No,Yes,Yes,Black,Four Legs,Unova
523,Zebstrika,,Electric,,Field,,No,No,,Black,Four Legs,Unova
524,Roggenrola,,Rock,,Mineral,,No,Yes,Yes,Blue,Two Legs,Unova
525,Boldore,,Rock,,Mineral,,No,No,,Blue,Jelly,Unova
526,Gigalith,,Rock,,Mineral,,No,No,,Blue,Jelly,Unova
527,Woobat,,Psychic,Flying,Flying,Field,No,Yes,Yes,Blue,Bird,Unova
528,Swoobat,,Psychic,Flying,Flying,Field,No,No,,Blue,Bird,Unova
529,Drilbur,,Ground,,Field,,No,Yes,Yes,Grey,Dino,Unova
530,Excadrill,,Ground,Steel,Field,,No,No,,Grey,Human,Unova
531,Audino,,Normal,,Fairy,,No,Yes,Yes,Pink,Dino,Unova
531-M,Audino,Mega Forme,Normal,Fairy,Fairy,,No,No,,White,Dino,Unova
532,Timburr,,Fighting,,Human-Like,,No,Yes,Yes,Grey,Human,Unova
533,Gurdurr,,Fighting,,Human-Like,,No,No,,Grey,Human,Unova
534,Conkeldurr,,Fighting,,Human-Like,,No,No,,Brown,Human,Unova
535,Tympole,,Water,,Water 1,,No,Yes,No,Blue,Fish,Unova
536,Palpitoad,,Water,Ground,Water 1,,No,No,,Blue,Dino,Unova
537,Seismitoad,,Water,Ground,Water 1,,No,No,,Blue,Human,Unova
538,Throh,,Fighting,,Human-Like,,No,Yes,Yes,Red,Human,Unova
539,Sawk,,Fighting,,Human-Like,,No,Yes,Yes,Blue,Human,Unova
540,Sewaddle,,Bug,Grass,Bug,,No,Yes,Yes,Yellow,Crawling Bug,Unova
541,Swadloon,,Bug,Grass,Bug,,No,No,,Green,Two Arms,Unova
542,Leavanny,,Bug,Grass,Bug,,No,No,,Yellow,Human,Unova
543,Venipede,,Bug,Poison,Bug,,No,Yes,Yes,Red,Crawling Bug,Unova
544,Whirlipede,,Bug,Poison,Bug,,No,No,,Grey,Short Blob,Unova
545,Scolipede,,Bug,Poison,Bug,,No,No,,Red,Crawling Bug,Unova
